60 60 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 015 006 009 033 013 032 003 028 031 
*** 013 021 *** *** 027 *** *** 017 *** 027 *** 007 024 020 *** 024 *** *** 005 012 020 *** 009 *** *** *** *** 023 *** *** 001 *** *** *** *** 008 *** *** *** 021 *** *** 008 *** *** *** 026 *** *** *** *** *** *** *** *** *** 029 *** *** 
*** 010 008 *** *** *** 003 008 *** *** *** 021 021 006 *** 018 *** *** 011 005 029 *** 025 *** *** *** *** 021 *** *** 017 *** *** *** *** 033 *** *** *** 029 *** *** 018 016 *** *** *** *** 031 020 002 006 013 018 024 010 005 019 003 026 
022 *** *** 012 *** *** 019 019 *** *** 023 031 007 *** 022 *** *** 008 026 024 *** 020 *** *** *** *** 034 *** *** 005 *** *** *** *** 002 *** *** *** 030 *** *** 014 *** 007 *** *** *** *** *** 021 *** *** *** *** *** 026 *** *** *** *** 
*** 014 *** *** 026 018 *** *** 003 005 016 022 *** 031 *** *** 013 005 017 *** 001 *** *** *** *** 001 *** *** 001 *** *** *** *** 010 *** *** *** 027 *** *** 017 *** *** 026 *** *** *** *** *** *** 034 *** *** *** 020 *** *** *** *** *** 
*** *** 033 *** 027 004 *** *** 030 011 016 *** 006 *** 023 026 031 000 *** 030 *** *** *** *** 016 *** *** 014 *** *** *** *** 020 *** *** *** 033 *** *** 026 *** *** 009 023 *** *** *** *** *** *** *** 011 *** 033 *** *** *** *** *** *** 
*** *** *** 000 *** *** 032 030 026 021 016 017 *** *** 030 008 028 *** 000 *** *** *** *** 004 *** *** 022 *** *** *** *** 034 *** *** *** 025 *** *** 003 *** *** 010 033 *** *** *** *** *** *** *** *** *** 033 016 022 013 025 010 033 029 
*** *** 028 *** 023 *** 031 028 002 *** 014 013 *** 006 000 012 005 004 *** *** *** *** 034 *** *** 028 *** *** *** *** 029 *** *** *** 031 *** *** 032 *** *** 022 015 *** *** *** *** *** *** *** *** *** 029 *** 021 *** *** *** *** *** *** 
*** 032 *** *** *** 000 004 011 022 016 *** *** 020 013 001 *** 020 023 *** *** *** 009 *** *** 027 *** *** *** *** 023 *** *** *** 008 *** *** 017 *** *** 005 010 *** *** *** *** *** *** *** *** *** 033 009 003 029 004 033 019 032 018 025 
030 *** *** *** 009 023 027 *** 009 029 *** 014 028 023 *** 024 *** *** 016 *** 015 *** *** 014 *** *** *** *** 029 *** *** *** 003 *** *** 013 *** *** 006 019 *** *** *** *** *** *** *** *** *** 029 *** *** *** *** *** 000 *** *** *** *** 
*** 007 *** 013 027 024 *** 028 *** *** 031 022 009 *** 014 *** *** *** *** 011 *** *** 021 *** *** *** *** 001 *** *** *** 027 *** *** 019 *** *** 012 030 *** *** *** *** *** *** *** *** *** 028 026 031 011 030 020 013 009 029 029 016 028 
*** *** 015 013 015 *** 007 *** 008 013 020 008 *** 000 *** 024 *** *** 033 *** 019 034 *** *** *** *** 000 *** *** *** 025 *** *** 008 *** *** 014 018 *** *** *** *** *** *** *** *** *** 027 016 011 026 006 004 002 024 030 017 025 030 029 
*** 018 015 006 *** 020 *** *** 029 002 014 *** 023 *** *** *** 002 002 *** *** 019 016 *** *** *** 016 *** *** *** 011 *** *** 002 *** *** 010 028 *** *** *** *** *** *** *** *** *** 021 *** *** *** *** *** *** *** *** *** *** *** 033 *** 
002 021 012 *** 019 *** *** 004 014 032 030 025 *** 027 *** *** 008 033 *** 009 *** 023 *** *** 022 *** *** *** 006 *** *** 004 *** *** 021 031 *** *** *** *** *** *** *** *** *** 020 015 028 000 004 015 028 026 022 019 010 011 031 004 012 
013 018 *** 015 *** 022 004 013 026 *** 029 032 *** *** 031 018 *** *** 003 *** *** 028 *** 014 *** *** *** 014 *** *** 013 *** *** 026 006 *** *** *** *** *** *** *** *** *** 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 
009 012 001 *** *** 030 033 007 *** 028 *** *** 028 *** 008 024 *** 018 *** 004 *** 001 014 *** *** *** 021 *** *** 006 *** *** 031 002 *** *** *** *** *** *** *** *** *** 029 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
*** 026 000 001 019 030 015 030 017 *** *** *** *** 016 *** *** 003 *** *** *** 004 004 *** *** *** 018 *** *** 030 *** *** 021 003 *** *** *** *** *** *** *** *** *** 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 034 
004 *** 032 028 031 028 *** 017 026 *** *** *** 018 *** 009 012 *** 003 *** *** 018 001 *** *** 022 *** *** 022 *** *** 021 030 *** *** *** *** *** *** *** *** *** 025 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
*** 011 025 018 004 007 029 *** *** 002 *** 011 *** *** 016 020 *** *** 027 034 *** 000 *** 002 *** *** 031 *** *** 030 001 *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 
*** 000 018 033 033 023 008 *** *** *** 010 *** *** 007 *** *** 017 *** 016 006 *** 025 019 *** *** 025 *** *** 012 001 *** *** *** *** *** *** *** *** *** 033 008 024 011 012 012 011 016 027 028 032 029 020 024 022 016 018 017 000 020 012 
008 011 034 007 019 024 032 004 *** 015 *** 008 004 *** *** *** *** 005 *** *** 002 015 *** *** 021 *** *** 026 016 *** *** *** *** *** *** *** *** *** 032 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 
023 009 *** 027 017 *** 001 022 021 *** *** 004 013 *** *** *** 000 *** 019 *** 028 028 *** 004 *** *** 024 002 *** *** *** *** *** *** *** *** *** 021 007 003 029 022 030 025 019 026 002 032 029 022 020 005 007 006 012 001 008 028 029 031 
022 013 019 *** *** 032 *** 031 014 019 028 *** *** 015 *** 003 *** *** *** 001 *** 010 028 *** *** 018 005 *** *** *** *** *** *** *** *** *** 008 013 014 010 014 021 027 011 001 018 006 032 021 008 007 027 030 001 024 032 018 027 025 014 
*** 022 010 000 *** *** 010 *** 019 034 017 *** *** *** 027 *** *** *** 002 *** 024 007 *** *** 013 011 *** *** *** *** *** *** *** *** *** 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 
028 *** 008 009 026 023 *** 020 026 034 012 007 *** 030 *** 029 *** 002 *** *** 001 006 *** 033 000 *** *** *** *** *** *** *** *** *** 021 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 028 
*** 012 *** 028 019 034 *** 004 032 *** 018 024 024 *** *** *** 006 *** *** 007 *** 017 022 029 *** *** *** *** *** *** *** *** *** 032 022 006 019 030 002 007 029 015 016 002 011 013 000 027 023 018 016 020 014 028 023 033 006 033 017 008 
*** *** 016 034 019 015 012 *** *** 012 *** 033 014 012 *** 007 *** 011 025 *** *** 029 011 *** *** *** *** *** *** *** *** *** 027 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
*** *** 018 025 *** 005 024 004 *** *** 009 *** 002 034 019 *** *** 015 020 *** 012 014 *** *** *** *** *** *** *** *** *** 010 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 
*** 011 *** *** 015 *** 028 004 031 008 *** 030 *** 014 009 003 020 *** *** 012 022 022 *** *** *** *** *** *** *** *** 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
023 *** *** 021 *** 008 *** 027 030 027 *** *** 002 *** 008 003 011 *** 004 004 008 019 *** *** *** *** *** *** *** 017 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 023 
*** 000 027 *** *** *** 020 005 024 024 020 026 *** 002 030 012 006 018 009 *** *** 003 *** *** *** *** *** *** 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 009 
*** 001 002 *** *** *** 002 000 *** 021 025 005 *** 032 009 *** 032 034 030 *** *** 029 *** *** *** *** *** 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 016 
014 *** *** 004 *** 018 *** *** 007 012 029 012 027 *** *** 004 019 019 021 031 *** 018 *** *** *** *** 025 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 
*** 007 *** *** 013 *** *** *** 031 019 *** 033 016 023 013 000 000 *** 012 030 015 027 *** *** *** 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 
*** *** 016 012 *** 032 *** 020 *** *** 027 *** 029 034 010 *** *** 015 *** 009 021 003 *** *** 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 018 
*** *** 026 001 *** *** 016 *** *** 031 *** 023 004 006 022 029 *** *** 034 *** 014 031 *** 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
*** 007 *** *** 009 031 *** 001 011 *** *** 022 014 *** 008 006 017 *** *** 008 *** 033 020 031 032 011 017 020 008 020 033 005 025 027 024 033 029 027 029 022 011 006 009 007 019 004 021 029 023 034 012 021 026 009 033 030 011 005 003 032 
024 003 008 001 004 012 009 029 000 021 008 001 017 002 004 013 000 033 028 027 030 AAA *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 032 
*** *** *** 006 *** *** 020 *** *** 032 011 *** *** *** *** *** *** *** *** *** *** *** 021 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 
*** *** 005 *** *** 011 *** *** 002 029 *** *** *** *** *** *** *** *** *** *** *** *** *** 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 
*** 019 *** *** 030 *** *** 010 023 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 015 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 018 
030 *** *** 003 *** *** 027 020 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 018 031 009 020 032 011 013 030 034 034 003 010 012 014 030 028 013 009 024 007 034 021 017 018 014 031 010 020 004 026 030 029 006 034 010 
*** *** 026 *** *** 017 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
*** 032 *** *** 023 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 
027 *** *** 007 025 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 013 001 002 009 012 027 014 004 009 005 030 033 027 020 024 005 003 006 019 006 023 002 029 031 005 022 012 024 011 019 011 
*** *** 007 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** 033 007 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
021 034 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
018 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
///
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 033 006 011 013 021 033 010 028 023 022 017 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 029 *** *** *** *** *** *** *** *** *** *** 029 
023 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 033 *** *** *** *** *** *** *** *** *** *** *** 003 
008 034 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** *** *** *** *** *** 020 
020 021 027 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 030 *** *** *** *** *** *** *** *** *** *** *** *** *** 031 
*** 006 005 007 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
*** 018 006 016 027 033 025 018 002 026 029 016 002 018 024 032 018 031 006 016 019 002 005 006 012 028 020 008 004 028 010 011 025 015 010 016 003 028 021 027 022 027 019 AAA *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 018 
016 *** *** 007 032 018 *** *** *** *** 022 *** *** *** *** *** *** *** *** *** *** 028 *** 018 *** *** *** *** 013 018 *** *** *** *** *** *** *** *** *** 031 *** *** *** 003 027 019 020 002 015 015 003 034 002 013 007 005 022 022 017 001 
*** 017 027 *** 031 009 009 *** *** 002 *** *** *** *** *** *** *** *** *** *** 009 *** 030 *** *** *** *** 003 012 *** *** *** *** *** *** *** *** *** 033 *** *** *** *** 034 *** 016 *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
*** 025 026 *** *** 000 024 004 001 *** *** *** *** *** *** *** *** *** *** 012 *** 024 *** *** *** *** 022 025 *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** 009 *** *** 001 *** *** *** *** *** *** *** *** *** *** *** 026 *** 
028 *** *** 023 *** *** 002 005 003 *** *** *** *** *** *** *** *** *** 028 *** 016 *** *** *** *** 002 033 *** *** *** *** *** *** *** *** *** 028 *** *** *** *** *** *** 011 *** *** *** 025 013 034 020 017 024 024 007 028 002 012 008 033 
*** 006 *** *** 016 *** 034 008 009 014 *** *** *** *** *** *** *** 015 *** 027 *** *** *** *** 029 020 *** *** *** *** *** *** *** *** *** 031 *** *** *** *** *** *** *** 016 *** *** *** *** 025 *** *** *** *** *** *** *** 030 *** *** *** 
*** *** 022 *** *** 006 *** *** 029 009 027 *** *** *** *** *** 012 *** 026 *** *** *** *** 033 014 *** *** *** *** *** *** *** *** *** 034 *** *** *** *** *** *** *** *** 000 *** *** *** *** *** 016 *** *** *** *** *** 022 *** *** *** *** 
*** *** *** 012 010 *** 029 *** *** 031 033 008 *** *** *** 019 *** 019 *** *** *** *** 029 016 *** *** *** *** *** *** *** *** *** 016 *** *** *** *** *** *** *** *** *** 021 *** *** *** *** *** *** 023 *** *** *** 019 *** *** *** *** *** 
*** *** *** 018 026 *** *** 014 *** *** 008 000 013 *** 001 *** 025 *** *** *** *** 013 013 *** *** *** *** *** *** *** *** *** 031 *** *** *** *** *** *** *** *** *** 009 *** *** *** *** *** *** *** *** 022 *** 034 *** *** *** *** *** *** 
*** *** 031 *** *** 030 *** *** 031 *** *** 023 020 029 *** 029 *** *** *** *** 029 031 *** *** *** *** *** *** *** *** *** 028 *** *** *** *** *** *** *** *** *** 006 *** *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** 
*** 008 *** *** *** *** 012 *** *** 024 *** *** 006 011 029 *** *** *** *** 012 019 *** *** *** *** *** *** *** *** *** 010 *** *** *** *** *** *** *** *** *** 023 *** *** *** *** *** *** *** *** *** *** 003 *** 002 *** *** *** *** *** *** 
003 *** *** *** *** *** *** 018 *** *** 012 020 *** 032 027 028 *** *** 011 000 *** *** *** *** *** *** *** *** *** 022 *** *** *** *** *** *** *** *** *** 024 *** *** *** *** *** *** *** *** *** *** 034 004 001 011 033 011 030 028 033 014 
*** 022 *** *** *** *** *** *** 014 *** 005 028 012 *** 005 010 025 010 027 *** *** *** *** *** *** *** *** *** 016 *** *** *** *** *** *** *** *** *** 004 *** *** *** *** *** *** *** *** *** *** 011 *** *** *** *** *** 005 *** *** *** *** 
*** *** 034 *** *** *** *** *** *** 024 *** 025 031 *** *** 000 006 030 *** *** *** *** *** *** *** *** *** 027 *** *** *** *** *** *** *** *** *** 015 *** *** *** *** *** *** *** *** *** *** 023 *** *** *** *** *** *** *** 023 *** *** *** 
*** *** *** 023 *** *** *** *** 033 *** 028 *** *** 028 *** 017 007 000 025 *** *** *** *** *** *** *** 031 *** *** *** *** *** *** *** *** *** 008 *** *** *** *** *** *** *** *** *** *** 012 025 027 033 021 009 018 021 023 027 030 002 032 
*** *** *** *** 013 *** *** 026 *** 033 *** 031 *** *** 006 006 *** 013 006 002 *** *** *** *** *** 034 *** *** *** *** *** *** *** *** *** 011 *** *** *** *** *** *** *** *** *** *** 028 *** *** *** *** *** *** *** *** *** *** *** 012 *** 
*** *** *** *** *** 032 017 *** 018 *** *** *** 026 020 019 030 *** *** 014 004 007 *** *** *** 026 *** *** *** *** *** *** *** *** *** 020 *** *** *** *** *** *** *** *** *** *** 031 *** *** *** *** *** *** *** *** *** *** *** *** *** 034 
*** *** *** *** *** 025 025 008 *** *** *** *** 033 028 *** *** 003 *** *** 018 009 014 *** 023 *** *** *** *** *** *** *** *** *** 005 *** *** *** *** *** *** *** *** *** *** 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 028 
*** *** *** *** 003 *** 015 006 *** *** *** 031 010 *** 034 *** *** 008 *** *** 033 023 025 *** *** *** *** *** *** *** *** *** 025 *** *** *** *** *** *** *** *** *** *** 012 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 008 
*** *** *** 026 *** 002 *** *** 016 *** 032 025 *** *** *** 022 *** *** 018 *** *** 031 *** *** *** *** *** *** *** *** *** 019 *** *** *** *** *** *** *** *** *** *** 011 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 032 
*** *** 021 *** 013 *** *** *** *** 010 034 *** *** *** *** *** 012 *** *** 021 008 029 *** *** *** *** *** *** *** *** 002 *** *** *** *** *** *** *** *** *** *** 014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 015 
*** 006 *** 025 *** *** *** *** 022 020 008 *** *** *** *** *** *** 015 *** 006 002 000 *** *** *** *** *** *** *** 016 *** *** *** *** *** *** *** *** *** *** 027 017 010 023 005 006 009 010 022 019 021 001 022 005 024 021 023 003 000 026 
008 *** 026 *** *** *** *** 003 002 *** *** 033 *** *** *** *** *** *** 034 *** *** 014 *** *** *** *** *** *** 012 *** *** *** *** *** *** *** *** *** *** 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
*** 020 *** *** *** *** 012 005 *** *** *** *** 013 *** *** *** *** 010 *** 025 *** 030 *** *** *** *** *** 006 *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 029 
014 *** 033 *** *** 011 020 *** *** *** *** *** *** 006 *** *** 027 *** *** *** 001 004 *** *** *** *** 021 *** *** *** *** *** *** *** *** *** *** 033 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 019 
*** 023 *** 012 002 019 *** *** *** *** *** *** *** *** 001 014 *** *** *** *** *** 007 *** *** *** 009 *** *** *** *** *** *** *** *** *** *** 029 027 028 025 030 027 013 017 004 020 010 001 011 006 030 013 033 014 032 031 029 029 021 019 
*** *** 010 020 034 *** *** *** *** *** *** *** *** *** 018 021 *** *** *** *** *** 027 *** *** 014 *** *** *** *** *** *** *** *** *** *** 001 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
*** *** 032 002 *** 006 *** *** *** *** *** *** *** 024 *** *** 019 *** *** *** *** 024 *** 000 *** *** *** *** *** *** *** *** *** *** 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 034 
*** 023 012 *** 022 *** 019 *** *** *** *** *** 005 *** *** *** *** 026 *** *** *** 020 029 *** *** *** *** *** *** *** *** *** *** 020 000 000 008 030 024 010 028 008 011 030 013 010 013 008 017 024 006 022 018 023 034 015 010 026 026 019 
023 010 *** *** *** 018 *** 025 *** *** *** 030 *** *** *** *** *** *** 009 *** *** 015 *** *** *** *** *** *** *** *** *** *** 008 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 028 
020 003 *** *** *** *** 025 *** 019 *** 007 *** *** *** *** *** *** *** *** 012 034 030 *** *** *** *** *** *** *** *** *** 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 031 
*** 017 005 *** *** *** *** 021 *** 030 *** *** *** *** *** *** *** *** *** 020 027 017 *** *** *** *** *** *** *** *** 024 009 008 016 009 015 024 008 013 025 003 034 025 030 007 024 028 014 000 025 020 007 000 012 019 011 034 023 023 017 
*** *** 003 006 *** *** *** *** 009 *** 017 *** *** *** *** *** *** *** 022 *** *** 008 *** *** *** *** *** *** *** 031 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 019 
*** *** *** 013 017 *** *** 001 *** 008 *** 013 *** *** *** *** *** 021 *** *** *** 018 *** *** *** *** *** *** 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 
*** *** *** *** 027 017 031 *** *** *** 021 *** 003 *** *** *** 013 *** *** *** *** 005 *** *** *** *** *** 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 
*** *** *** *** *** 014 025 *** *** *** *** 022 *** 005 *** 006 *** *** *** *** *** 032 *** *** *** *** 028 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 
*** *** *** *** 000 *** 008 019 *** *** *** *** 002 *** 026 *** *** *** *** *** *** 029 *** *** *** 008 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 028 
*** *** *** 001 *** *** *** 000 002 *** *** *** *** 017 *** 028 *** *** *** *** *** 023 *** *** 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 031 
