70 70 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 023 003 008 010 003 002 015 024 006 007 020 003 020 013 009 011 013 001 009 024 024 008 019 000 008 003 003 012 011 003 002 001 011 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** 
015 002 010 013 007 *** 011 005 022 014 018 *** 013 009 001 017 006 019 019 011 021 *** 008 009 003 010 *** *** *** *** 023 002 *** 022 023 014 *** *** *** 003 022 022 008 001 018 005 021 015 001 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
015 018 008 003 *** 013 010 012 010 004 *** 014 003 008 003 009 019 012 020 011 *** 014 002 000 005 *** *** *** *** 009 *** 023 009 005 014 *** *** *** 006 013 004 016 006 021 009 010 001 009 015 018 018 016 010 024 018 008 001 004 010 022 022 004 018 023 005 012 021 020 005 018 
017 005 004 *** 016 024 010 004 006 *** 001 003 015 005 022 009 009 007 017 *** 001 019 013 020 *** *** *** *** 003 *** *** 002 004 007 *** *** *** 004 015 019 011 005 024 007 023 016 023 *** *** 005 002 012 003 022 009 018 013 018 018 010 015 007 000 006 021 010 001 017 019 003 
012 020 *** 008 016 005 015 017 *** 009 020 018 012 000 007 006 014 007 *** 007 018 007 008 *** *** *** *** 022 *** *** 012 020 004 *** *** *** 013 009 000 001 007 002 013 006 003 012 *** *** *** *** 000 024 019 008 009 006 005 013 008 004 003 010 018 023 016 023 017 024 015 018 
017 *** 015 024 003 023 020 *** 012 013 007 012 004 005 022 004 003 *** 022 000 006 009 *** *** *** *** 001 *** *** 015 016 008 *** *** *** 018 001 022 010 003 014 004 024 020 007 *** *** *** *** *** *** 014 021 003 024 012 020 015 005 015 024 000 005 003 011 022 018 009 007 014 
*** 002 011 024 007 018 *** 024 015 001 005 005 007 020 015 008 *** 024 014 020 011 *** *** *** *** 023 *** *** 004 019 020 017 *** *** 022 001 017 015 010 019 006 005 016 015 *** *** *** *** *** *** *** *** 023 006 021 019 020 009 020 012 019 007 023 003 017 023 008 002 004 002 
008 013 011 006 001 *** 007 004 002 007 021 018 022 011 005 *** 004 008 002 021 *** *** *** *** 022 *** *** 024 016 000 *** 009 *** 005 007 007 014 019 017 010 023 024 019 *** *** *** *** *** *** *** *** *** *** 012 016 018 023 002 024 008 020 019 002 014 018 007 000 020 020 014 
003 021 018 005 *** 017 017 017 007 024 015 003 015 019 *** 007 016 006 002 *** *** *** *** 002 *** *** 000 023 011 *** *** 004 005 013 010 014 016 010 002 008 016 013 *** *** *** *** *** *** *** *** *** *** *** *** 019 006 003 019 008 009 007 012 006 005 019 018 019 020 021 005 
011 022 022 *** 010 000 017 024 018 008 002 022 004 *** 024 003 018 009 *** *** *** *** 015 *** *** 008 010 021 *** *** *** 013 007 008 003 008 009 020 004 007 017 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 014 011 022 021 008 007 001 011 024 005 001 013 001 007 
017 002 *** 006 011 023 002 018 002 012 000 003 *** 017 009 001 021 *** *** *** *** 020 *** *** 021 018 017 *** *** *** 017 015 019 015 024 015 016 017 017 018 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 011 021 006 019 015 015 018 011 020 013 017 000 006 
011 *** 011 014 006 015 000 003 003 018 007 *** 016 024 009 006 *** *** *** *** 010 *** *** 011 017 019 *** *** *** 006 012 014 007 010 007 004 013 021 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 023 013 011 006 015 003 013 008 015 004 018 004 008 
*** 001 001 023 000 005 021 013 013 014 *** 020 006 014 001 *** *** *** *** 005 *** *** 006 000 024 *** *** *** 006 018 006 006 017 012 002 006 001 007 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 *** *** *** *** *** *** *** *** *** *** 017 
023 022 024 015 001 006 014 007 005 *** 018 021 016 005 *** *** *** *** 004 *** *** 019 009 015 *** *** *** 001 005 016 015 013 018 016 014 022 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 008 020 020 016 006 006 005 018 020 005 009 
018 004 019 008 019 021 003 024 *** 005 015 006 020 *** *** *** *** 021 *** *** 012 024 022 *** *** *** 002 009 011 001 016 012 002 020 023 018 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 019 *** *** *** *** *** *** *** *** 002 
014 021 000 008 015 010 006 *** 012 014 012 023 *** *** *** *** 016 *** *** 017 008 011 *** *** *** 020 013 012 019 001 008 007 024 021 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 007 021 014 010 003 015 004 006 
024 016 020 024 001 007 *** 018 008 024 010 *** *** *** *** 017 *** *** 019 016 017 *** *** *** 005 021 005 016 022 014 001 008 003 020 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 019 005 024 021 012 006 006 012 
002 018 020 006 017 *** 002 001 005 012 *** *** *** *** 002 *** *** 021 007 019 *** *** *** 023 013 017 019 008 022 004 008 005 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** 011 
011 013 001 001 *** 012 022 010 005 *** *** *** *** 023 *** *** 013 017 006 *** *** *** 015 006 002 011 015 012 016 002 023 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 011 *** *** *** *** 005 
017 013 004 *** 002 005 012 005 *** *** *** *** 023 *** *** 021 021 010 *** *** *** 007 007 006 022 004 010 021 013 014 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 001 013 015 024 007 
019 006 *** 023 000 024 014 *** *** *** *** 021 *** *** 000 013 011 *** *** *** 007 014 022 015 009 011 021 017 008 018 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** 024 
012 *** 019 000 022 015 *** *** *** *** 017 *** *** 017 006 006 *** *** *** 017 013 021 001 008 007 020 013 019 008 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 011 019 021 
*** 005 024 003 000 *** *** *** *** 008 *** *** 010 021 022 *** *** *** 006 024 021 008 024 013 021 017 020 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 012 021 
004 006 005 003 *** *** *** *** 009 *** *** 005 015 019 *** *** *** 002 003 001 014 011 019 024 016 007 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 012 
009 017 015 *** *** *** *** 011 *** *** 020 005 006 *** *** *** 017 007 019 023 016 001 013 022 022 001 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 016 
014 007 *** *** *** *** 001 *** *** 007 013 015 *** *** *** 000 020 017 003 014 006 003 014 012 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
022 *** *** *** *** 010 *** *** 018 007 003 *** *** *** 012 024 011 021 008 010 010 012 015 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
*** *** *** *** 022 *** *** 000 023 020 *** *** *** 002 021 000 017 009 007 019 013 014 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 023 
*** *** *** 021 *** *** 003 001 024 *** *** *** 021 005 006 005 015 023 009 018 015 008 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 
*** *** 006 *** *** 001 000 021 *** *** *** 008 007 021 007 007 009 010 014 020 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 002 
*** 009 *** *** 012 021 007 *** *** *** 006 000 007 009 000 007 015 016 014 018 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
015 *** *** 009 014 020 *** *** *** 000 019 015 002 008 024 019 020 023 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 
*** *** 014 009 024 *** *** *** 003 019 019 021 001 013 019 005 016 020 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 009 
*** 001 003 005 *** *** *** 004 018 002 015 004 023 015 010 021 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 
011 006 009 *** *** *** 013 001 023 012 023 017 016 001 011 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
011 010 *** *** *** 009 002 015 007 005 019 006 002 000 010 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 002 
010 *** *** *** 007 009 002 007 010 016 019 024 022 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 001 
*** *** *** 006 013 010 024 016 008 009 023 000 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 012 
*** *** 018 005 016 000 010 012 005 019 003 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 
*** 004 007 000 012 019 019 010 024 014 012 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 
019 000 015 001 021 011 004 008 014 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
009 008 008 011 013 001 012 016 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 
023 011 009 008 018 008 002 011 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 
017 000 023 009 014 017 005 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 008 
022 006 009 020 015 023 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 
020 018 000 019 012 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 021 
024 003 023 015 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
008 008 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 
004 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 
///
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
007 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 008 005 006 022 001 003 008 006 018 013 021 003 022 011 003 017 023 019 018 003 023 018 004 016 005 015 020 004 016 013 012 022 007 020 002 
019 014 004 016 005 006 023 011 016 012 018 024 019 018 020 020 020 009 024 008 013 022 003 009 005 019 010 013 009 014 008 016 017 018 015 015 009 002 003 006 010 014 009 009 008 020 008 020 015 022 021 006 017 021 015 018 012 002 017 022 020 008 AAA 017 009 003 020 008 007 016 
006 015 019 018 011 *** *** 023 022 *** 000 022 017 019 023 020 023 018 011 *** 001 004 *** 009 000 009 009 016 005 *** 023 006 009 006 000 003 004 005 014 017 018 022 013 002 *** *** *** 017 019 *** 013 008 004 009 024 004 021 022 022 016 019 013 023 014 *** *** *** *** *** *** 
009 016 009 006 *** *** 018 016 *** 021 001 015 002 011 018 020 009 010 *** 003 021 *** 016 018 011 023 016 006 *** 005 021 021 005 019 017 014 018 015 004 011 002 001 003 005 020 005 014 014 001 011 016 012 009 013 010 000 016 006 021 007 001 022 011 004 007 004 008 023 002 010 
011 024 006 017 023 008 004 000 019 019 019 009 007 011 014 005 009 019 019 004 017 018 004 013 010 009 022 002 014 003 013 AAA 021 000 006 024 007 000 010 012 009 013 *** *** *** 022 019 *** 013 007 021 013 014 017 012 004 017 016 006 009 022 009 022 *** *** 006 *** *** *** *** 
023 015 *** *** 021 003 *** 020 006 023 022 004 006 011 006 020 *** 018 009 *** 014 008 018 021 011 003 *** 020 015 020 012 006 015 023 014 021 014 022 014 018 006 015 019 022 024 021 022 024 014 011 015 011 006 000 019 008 010 017 008 021 017 005 008 010 024 019 009 018 006 017 
009 *** *** 024 003 *** 008 017 015 012 010 005 000 011 017 *** 013 022 *** 014 015 019 016 014 007 *** 024 013 007 002 004 023 013 017 014 020 004 007 005 010 *** *** *** 008 002 *** 024 010 024 013 018 021 021 005 011 024 008 013 005 024 015 *** *** *** *** *** *** 005 *** *** 
*** *** 014 017 *** 002 023 008 007 004 015 016 023 023 *** 019 006 *** 000 006 017 008 003 001 *** 019 011 010 010 013 010 001 005 007 000 009 020 011 006 *** *** *** 013 008 *** 017 020 015 020 008 017 011 008 010 014 009 017 016 015 019 *** *** *** *** *** *** *** *** 019 *** 
*** 015 021 *** 001 001 023 014 022 009 006 012 016 *** 011 014 *** 002 002 016 020 004 009 *** 008 003 017 009 024 010 020 021 003 016 013 008 008 012 009 006 018 014 023 024 005 018 007 017 009 003 011 022 004 013 001 024 007 001 006 019 020 006 013 018 002 023 017 011 020 003 
024 020 *** 010 012 022 021 002 013 004 001 012 *** 005 020 *** 002 009 012 017 014 013 *** 012 012 023 021 015 004 012 019 023 009 007 014 017 002 008 004 023 022 012 007 000 015 002 018 004 018 016 014 013 022 022 017 024 007 017 021 024 020 003 010 010 010 016 001 003 014 007 
018 *** 019 001 017 019 016 008 017 008 020 *** 015 001 *** 001 022 010 006 010 006 *** 013 019 017 016 010 004 010 019 023 006 016 021 022 020 *** 008 011 010 020 014 021 016 009 021 015 010 003 021 023 023 006 001 006 009 005 020 003 020 017 000 014 010 006 011 022 017 002 012 
*** 003 022 005 014 016 009 017 016 020 *** 021 023 *** 001 018 017 008 003 023 *** 017 016 016 010 004 015 015 010 000 022 002 011 002 020 *** *** *** 004 011 009 007 015 022 022 017 010 016 004 006 015 005 015 017 024 024 000 023 010 014 023 007 004 008 013 011 010 014 023 011 
012 015 021 023 016 016 000 020 019 *** 022 000 *** 006 015 018 011 013 011 *** 020 021 014 008 005 014 022 013 004 003 015 000 000 010 *** *** *** 003 021 020 010 009 005 004 011 008 011 023 005 013 023 001 001 012 014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 012 
007 017 012 011 015 016 011 008 *** 000 020 *** 007 022 008 020 004 005 *** 012 009 023 002 003 010 004 013 006 022 018 012 016 022 *** *** *** 018 006 *** 015 004 015 024 011 005 010 010 019 013 004 011 004 018 001 002 010 006 021 021 021 014 018 008 012 022 024 016 002 022 004 
022 005 000 007 017 022 014 *** 008 009 *** 016 019 009 020 009 023 *** 009 003 003 013 019 010 005 010 009 020 007 003 000 024 *** *** *** 002 021 *** 024 000 024 007 004 022 018 009 013 013 020 014 010 020 008 004 007 015 007 006 010 007 007 005 007 018 005 020 012 018 002 001 
004 017 020 003 009 009 *** 012 005 *** 000 010 015 014 014 023 *** 016 012 015 008 015 008 005 014 024 024 022 005 023 020 011 *** *** 015 004 *** 000 009 016 008 002 013 018 007 023 023 012 018 021 021 018 017 017 001 000 013 011 024 010 009 008 005 011 008 012 005 016 003 016 
008 014 016 002 005 *** 002 006 *** 004 009 000 002 016 011 *** 013 012 001 015 019 008 009 004 024 020 014 017 006 024 *** 002 *** 006 017 *** 024 014 004 012 010 020 006 021 022 003 005 020 017 014 013 024 013 008 023 008 019 016 003 004 019 001 002 016 001 003 003 002 001 021 
011 020 002 007 *** 022 002 *** 016 011 012 016 024 012 *** 024 005 014 021 014 000 022 016 023 022 014 011 013 020 *** *** 009 021 021 *** 018 006 000 009 016 024 006 014 006 013 014 013 014 002 012 002 011 020 005 019 006 017 013 019 017 014 000 000 013 013 002 003 006 020 020 
017 024 003 *** 007 004 *** 012 018 014 002 024 004 *** 002 003 004 019 015 001 015 024 007 018 001 005 009 020 *** *** *** 010 019 *** 019 000 017 003 008 021 019 015 006 000 001 019 020 001 015 014 013 014 023 003 012 007 009 016 004 020 012 016 001 023 003 023 021 002 017 015 
018 014 *** 015 001 *** 014 003 000 002 015 012 *** 000 021 005 001 000 015 003 006 011 022 014 005 010 005 *** *** *** 023 007 *** 003 001 015 020 000 016 021 016 003 005 011 000 003 003 014 002 008 001 011 020 014 018 004 017 022 002 006 012 001 017 012 006 011 000 019 014 001 
012 *** 018 021 *** 021 015 013 020 003 022 *** 016 019 020 005 019 012 001 000 014 015 016 021 014 024 *** *** *** 012 013 003 009 012 010 019 006 007 005 011 015 002 024 024 000 014 003 010 008 011 006 007 000 012 004 003 009 024 012 010 013 005 013 020 022 015 001 013 022 009 
*** 012 006 *** 009 018 009 015 009 023 *** 023 010 007 013 021 012 008 022 021 012 005 017 005 007 *** *** *** 007 022 *** 013 021 009 023 017 017 001 009 001 018 023 018 018 007 002 *** *** 018 009 021 022 000 020 013 009 023 012 007 004 015 014 019 004 000 011 016 005 015 014 
